skill_match_percentage,critical_skill_match_percentage,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,missing_skills_count,critical_missing_skills_count,readiness_label
85.50058636738238,84.46421476297645,94.72942428328025,93.53398974845823,97.8435913540969,81.73877665258833,88.43843639370542,80.59594438876141,1,1,Highly Ready
94.32039225844807,94.02649947180473,88.39039641923317,88.98418092567707,85.56381416461325,97.38600641585867,95.17614734259534,83.1931863275378,3,2,Highly Ready
68.22983529972205,57.05870181202728,52.669425180842666,52.740894783002354,66.25489859425427,61.86706856460404,65.52830891893885,64.13517216048872,8,6,Needs Improvement
14.658914070354644,31.431989974722168,44.27258739684034,18.081751308348824,9.614429512832995,3.477757441187046,33.06316592838551,38.65341703943459,9,9,Not Ready Yet
89.0682060473687,96.68220853281501,83.2530819431217,87.10541400455043,93.40350348755386,94.03640626917102,93.67095331073335,81.42805019157096,1,1,Highly Ready
72.4295304410585,78.32852061659096,76.19345762589982,71.97653656573242,72.91854460973789,76.91482219833135,70.50344152794355,77.39622334606128,5,5,Moderately Ready
67.4364502353398,61.20924092661304,63.92245687294157,54.82727779297453,59.98616267086099,66.92429676996065,62.57133366360763,53.57168862795713,6,6,Needs Improvement
58.71180889130243,61.50359264902181,57.515935986844994,68.9518640038049,53.48997140803541,59.88328502801336,64.60407883560728,66.49985237399999,6,8,Needs Improvement
73.79943970119716,70.57174935536761,73.43457357855883,78.96509242216086,74.76202910589224,78.73970539852256,77.74701732011049,70.10332919748538,4,5,Moderately Ready
58.82577451204389,59.167026713925715,68.16868669537945,66.7653529268075,55.74100291351964,60.01055003490537,54.21573384954237,67.42730110820676,8,7,Needs Improvement
76.86259720067636,74.85441127107663,77.00763830767502,74.7731830497566,70.00514706515149,72.91740451304206,70.17529068147249,78.36188754638155,5,4,Moderately Ready
91.34713887377819,81.57514096582732,94.63815189689255,96.32046506840177,99.55968987354669,90.65412339059031,82.51521023040883,93.19501645494735,1,2,Highly Ready
37.76325983179027,34.493381604981074,35.64744864095609,19.949614999871457,33.584347981914156,18.67102512646469,44.980704232147275,22.574307069556486,9,9,Needs Improvement
91.76617436914466,84.60229465193154,84.40434768903118,81.41986172018065,92.62205914540198,84.5788356762231,98.10840026012255,97.19270800507493,0,1,Highly Ready
54.8562625326679,53.38161327705045,67.83925633045207,61.27877567985512,59.508078473612294,65.12314963723355,65.53494595979959,54.4273784585138,6,8,Needs Improvement
20.5551138024869,43.19183741848016,2.7085593616085255,32.67277441328958,32.308987564749216,3.0306337038506825,36.41067942205913,40.02962554308494,9,9,Not Ready Yet
